ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
A_1805;A;1805;LAMEGO;21608197.79;13344228.56;4602505.83;5867586.61;687147.42;2186988.7;9000;1491720.87;296575.16;1962637.51;241757.13;4262278.56
A_1009;A;1009;LEIRIA;57243921.93;36975448;12320471.2;14605738.66;1274776.5;8774461.64;16536;2671021.51;300799.28;2533764.1;4100576.76;10645776.28
A_1106;A;1106;LISBOA;640000249.03;441940695.43;216512163.43;132540525.34;7260017.5;85627989.16;11384284.67;9388069.8;4096554.46;10909192.09;32993013.17;129288439.41
A_0808;A;0808;LOULÉ;92128838.58;57787460.46;25771145.76;26582007.28;589169.64;4845137.78;691747.4;3828959.78;2943775.53;4749489.73;3279760.41;18847684.63
A_1107;A;1107;LOURES;102581277.53;84066571.6;38008150.63;32103516.23;1128635.25;12826269.49;454188.82;3182033.59;307723.99;476128.55;709524.42;13385106.56
A_1108;A;1108;LOURINHÃ;19373485.65;14438381.81;5794903.78;6416295.07;266092.34;1961090.62;444236.96;1458311.25;170130.51;290656.66;386403.8;2185364.66
A_0607;A;0607;LOUSÃ;13492400.19;10006886.24;4254744.48;4915091.77;91269;745780.99;61565.19;671073.56;472838.66;637623.9;996518.31;645894.33
A_1305;A;1305;LOUSADA;25083523.23;19295469.06;9759379.25;6996383.85;189946.3;2349759.66;50000;1847747.96;758643.45;391827.98;341342.88;2398491.9
A_1413;A;1413;MAÇÃO;8566510.53;6977201.33;3163272.06;3173417.85;30048.45;610462.97;0;244568.26;105251.68;765743.43;196648.95;277096.88
A_0405;A;0405;MACEDO DE CAVALEIROS;15913877.63;12086137.28;4638503.88;6325027.27;61315.38;1061290.75;190714.5;0;39535.4;1036602.91;338897.36;2221990.18
A_3104;A;3104;MACHICO;16264420.38;13314434.08;3463405.26;8050209.77;610092.29;1190726.76;9500;0;33872.8;1277619.47;101382.66;1527611.37
A_4602;A;4602;MADALENA;7190816.43;3809692.5;2267299.53;1126940.31;22301.44;393151.22;0;222139.67;103423.58;2241998.16;207786.75;605775.77
A_1109;A;1109;MAFRA;52140608.92;39957337.91;13929910.11;21843671.77;112750.89;4071005.14;78428;188490.04;686942.34;5084495.88;2256141.38;3888773.37
A_1306;A;1306;MAIA;59462431.7;39706547.35;18567367.45;15434195.89;1723483.57;3981500.44;237729.23;3310949.89;4738597.12;1537521.36;1031912.79;8899173.96
A_1806;A;1806;MANGUALDE;16133336.28;9989426.22;4592825.23;4435727.71;401184.75;559688.53;15536.46;1106706.35;732153.95;1706892.62;568375.13;2014245.55
A_0908;A;0908;MANTEIGAS;5118927.47;3457309.92;1300144.92;1380262.55;24938.18;751964.27;10247.92;0;131544.49;122410.86;797133.54;600280.74
A_1307;A;1307;MARCO DE CANAVESES;25264409.78;17475330.16;6875721.53;7498395.78;457410.02;2643802.83;32296.87;318478.2;524155.14;454997.81;564060.3;5895091.3
A_1010;A;1010;MARINHA GRANDE;19965620.76;15641811.17;5403826.48;7784015.37;21997.88;2431971.44;58158.19;678953.67;599546.06;705187.13;1480038.36;801926.18
A_1210;A;1210;MARVÃO;5108975.83;3442323.47;1736929.25;1314990.46;7237.32;383166.44;808643.91;18704.86;177894.45;144897.78;280210.15;236301.21
A_1308;A;1308;MATOSINHOS;88661753.73;68457715.38;29702027.6;25465524.66;706241.51;12583921.61;4384128.02;3853050.89;632314.7;1623537.48;2511746.35;7199260.91
