ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;investimentosoutrosinvestimentosbensdecapital;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
T1_1411;T1;1411;FERREIRA DO ZÊZERE;1701226,39;1395884,25;515763,37;759369,06;33369,23;87382,59;229757,84;0;14789,24;0;204739,79;10228,81;75584,3
T1_0605;T1;0605;FIGUEIRA DA FOZ;6241116,12;4171932,26;2121008,71;1627406,02;99658,42;323859,11;1575840,91;0;599168,96;0;25255;951416,95;493342,95
T1_0904;T1;0904;FIGUEIRA DE CASTELO RODRIGO;1847926,1;1435273,6;476934,83;610250,04;24858,64;323230,09;119737,34;3172,38;79950;23531,5;22,14;13061,32;292915,16
T1_1008;T1;1008;FIGUEIRÓ DOS VINHOS;1406907,92;1080458,09;656506,57;290276,72;73094,34;60580,46;34775,8;3966,75;325,95;0;773,67;29709,43;291674,03
T1_0905;T1;0905;FORNOS DE ALGODRES;1613222,45;1278214,42;396881,07;665247,52;207289,64;8796,19;33090,29;0;0;0;28785,29;4305;301917,74
T1_0404;T1;0404;FREIXO DE ESPADA À CINTA;1783629,14;1141892,71;626884,5;354640,82;59041,35;101326,04;377392,76;0;210742,47;0;85413,43;81236,86;264343,67
T1_1208;T1;1208;FRONTEIRA;1495011,45;794407,62;371132,68;357833,74;7157,54;58283,66;589637,29;0;0;3025,8;573812,79;12798,7;110966,54
T1_3103;T1;3103;FUNCHAL;15891190,96;10952880,28;6840389,01;3122168,34;159752,73;830570,2;3556654,05;142894,5;81920,82;1959478,29;375614,32;996746,12;1381656,63
T1_0504;T1;0504;FUNDÃO;27751311,34;7652109,63;1471645,66;5375937,69;511911,71;292614,57;19118577,71;697,53;3367187,8;4579430,77;8620398,01;2550863,6;980624
T1_1209;T1;1209;GAVIÃO;963228,08;840740,65;460713,32;209652,88;5197,3;165177,15;72324,01;0;4535,01;56500,53;81,18;11207,29;50163,42
T1_0606;T1;0606;GÓIS;1726480,4;1115932,52;637683,15;389067,7;15617,9;73563,77;445506,66;0;81948,44;9868,68;273721,31;79968,23;165041,22
T1_1412;T1;1412;GOLEGÃ;1651608,36;1042449,08;511128,3;441008,92;3220,87;87090,99;563123,2;2878,2;24865,15;32249,51;22914,49;480215,85;46036,08
T1_1304;T1;1304;GONDOMAR;15114654,4;11282662,4;6070368,09;3488686,06;67518,2;1656090,05;2744716,91;95966,87;1064993;2813,68;1488809,3;92134,06;1087275,09
T1_0906;T1;0906;GOUVEIA;2401751,97;1384556,99;625824,71;443687,99;17047,81;297996,48;777244,56;9383,64;298,07;12583,63;535054,87;219924,35;239950,42
T1_1505;T1;1505;GRÂNDOLA;4567261,35;3501181,85;2059148,14;1031790,41;44020,72;366222,58;836854,52;4166,26;55845,15;66149,05;560636,48;150057,58;229224,98
T1_0907;T1;0907;GUARDA;5944671,2;3786190,5;2185364,31;868553,9;173619,58;558652,71;439063,34;75586,04;40787,64;19349,52;196081,87;107258,27;1719417,36
T1_0308;T1;0308;GUIMARÃES;15126867,48;11199461,13;5527453,01;2939024,75;351531,72;2381451,65;1619953,89;385453,08;257648,43;0;372243,08;604609,3;2307452,46
T1_4701;T1;4701;HORTA;1994948,08;1228808,79;750758,47;305635,24;24758,83;147656,25;521019,61;0;0;0;340336,45;180683,16;245119,68
T1_0505;T1;0505;IDANHA-A-NOVA;3115004,87;2469789,5;985085,57;1328567,67;6520,75;149615,51;364064,49;0;39605,86;16826,6;130625,36;177006,67;281150,88
T1_0110;T1;0110;ÍLHAVO;6149009,41;4291082,29;1248138,63;2226851,09;709823,02;106269,55;1175568,07;218560,26;341239,56;3393,58;500417,92;111956,75;682359,05
T1_0806;T1;0806;LAGOA (ALGARVE);3927609,8;3565122,41;1550913,47;1367422,81;160957,79;485828,34;236707,56;0;89936,64;53768,7;18069,93;74932,29;125779,83
T1_4201;T1;4201;LAGOA (SÃO MIGUEL);2111794,93;1227541,23;513211,55;377817,07;15861,61;320651;449760,28;0;46761,81;194561,2;29569,56;178867,71;434493,42
T1_0807;T1;0807;LAGOS;13393987,57;10703433,32;2835355,57;5546379,87;186511,99;2135185,89;1587385,85;192545,25;215563,22;68317,11;911731,98;199228,29;1103168,4
T1_4801;T1;4801;LAJES DAS FLORES;1095530,18;438234,85;256375,97;177292,58;0;4566,3;634055,12;0;32956,85;30179,8;457346,78;113571,69;23240,21
T1_4601;T1;4601;LAJES DO PICO;1810343,83;633426,58;337829,89;219624,92;34696,72;41275,05;885275,35;0;557755,36;0;280197,75;47322,24;291641,9
T1_1805;T1;1805;LAMEGO;4487764,78;2489378,04;950124,32;1028641,38;91175,47;419436,87;914324,26;0;225396,84;25588,4;624278,4;39060,62;1084062,48
T1_1009;T1;1009;LEIRIA;11113313,08;8735445,39;2790015,38;3612332,09;119861,65;2213236,27;350958,68;0;96632,68;4600,45;194189,5;55536,05;2026909,01
T1_1106;T1;1106;LISBOA;91294194,71;77501947,77;52578885,55;15799216,43;822263,61;8301582,18;6915523,96;845502,43;648199,74;614478,78;751966,84;4055376,17;6876722,98
T1_0808;T1;0808;LOULÉ;24380864,89;15928857,63;6096217,58;7757455;723711,14;1351473,91;5916600,64;110576,6;1182529,88;2641358,57;1676347,35;305788,24;2535406,62
T1_1107;T1;1107;LOURES;21273877,03;17868695,22;8851264,72;5536457,39;361061,73;3119911,38;476816,56;71710,04;598,6;0;232566,39;171941,53;2928365,25
T1_1108;T1;1108;LOURINHÃ;3399085,86;2946628,53;1325432,75;1381057,73;33858,01;206280,04;321321,06;645,75;10360,86;35912,49;225751,13;48650,83;131136,27
T1_0607;T1;0607;LOUSÃ;3029730,07;2325449,82;1050928,8;1151413,51;28584,68;94522,83;566307,4;5006,87;23623,37;65519,99;184693,33;287463,84;137972,85
T1_1305;T1;1305;LOUSADA;5347779,49;4326589,2;2385691,36;1589242,83;48684,19;302970,82;524659,52;18750;73233,56;94992,08;272608,96;65074,92;496530,77
T1_1413;T1;1413;MAÇÃO;1962009,01;1630070,96;701362,6;771904,47;16700,42;140103,47;267972,74;0;35149,79;10023,72;154061,21;68738,02;63965,31
T1_0405;T1;0405;MACEDO DE CAVALEIROS;4523091,61;2826426,4;1092759,55;1306999,09;47688,84;378978,92;1138158,07;13128,89;20530,08;104503,23;890083,34;109912,53;558507,14
