ldk;codigoperiodo;codigoine;dscautarquia;despesatotal;despesacorrente;despesacompessoal;despesaaquisicaobens;jurosencargos;transferenciascorrentes;investimentosoutrosinvestimentosbensdecapital;terrenoshabitacoes;edificios;infraestruturasbasicas;acessibilidades;outrosinvestimentosbensdecapital;transferenciasoutrasdespesascapital
T1_1818;T1;1818;SERNANCELHE;1955542.04;975173.3;359009.33;543211.73;18978.56;53973.68;796853.62;245.37;227857.69;112343.38;196022.13;260385.05;183515.12
T1_0213;T1;0213;SERPA;3778683.96;2408719.82;1383380.49;684858.62;54726.57;285754.14;1169686.26;12922;465558.15;20530.42;312126.82;358548.87;200277.88
T1_0509;T1;0509;SERTÃ;3252980.45;2427408.46;828414.36;1296038.01;51074.09;251882;701318.94;34040;166731.88;90451.96;314293.73;95801.37;124253.05
T1_1511;T1;1511;SESIMBRA;8001834.76;5067196.57;3697155.74;1023799.83;104120.06;242120.94;1210359.8;433784.31;354245.6;213560.91;86371.89;122397.09;1724278.39
T1_1512;T1;1512;SETÚBAL;12695579.7;9092516.22;5358971.27;2083196.49;206666.78;1443681.68;2663090.19;197274.41;1617587.23;73525.36;186194.21;588508.98;939973.29
T1_0117;T1;0117;SEVER DO VOUGA;1572761.22;1016196.26;437216.43;372324.81;16642.22;190012.8;395709.09;20330.86;171415.06;0;139885.03;64078.14;160855.87
T1_0813;T1;0813;SILVES;6453044.01;5086355.77;2584313.75;2289968.4;139879.1;72194.52;313886.07;3021;19558.99;62318.31;42022.42;186965.35;1052802.17
T1_1513;T1;1513;SINES;4997206.32;3226217.09;1808600.06;1019608.94;68807.63;329200.46;1324665;4424.14;522339.31;12639.66;582545.17;202716.72;446324.23
T1_1111;T1;1111;SINTRA;41426401.26;21453978.3;9583836.07;5021266.59;1067366.49;5781509.15;1794022.32;356269.52;222430.7;0;943840.37;271481.73;18178400.64
T1_1112;T1;1112;SOBRAL DE MONTE AGRAÇO;1737349.31;1283256.65;611534.63;465020.98;39569.74;167131.3;359217.96;0;0;129.81;344018.63;15069.52;94874.7
T1_0615;T1;0615;SOURE;3407239.14;1745989.54;1000298.44;631920.96;47304.12;66466.02;1257362.59;0;725624.48;48920.19;121098.41;361719.51;403887.01
T1_1215;T1;1215;SOUSEL;1748564.97;1163819.78;566670.22;514983.44;26452.67;55713.45;492287.66;9496.46;64098.79;9317.71;229410.33;179964.37;92457.53
T1_0616;T1;0616;TÁBUA;2204704.5;1379150.85;737077.67;447097.94;20487.54;174487.7;708063.35;2808.49;1372.05;463141.82;78610.83;162130.16;117490.3
T1_1819;T1;1819;TABUAÇO;1983412.62;1408427.85;576522.78;721867.01;75968.71;34069.35;488617.42;0;83868.05;17651.06;203932.33;183165.98;86367.35
T1_1820;T1;1820;TAROUCA;2127977.66;1626639.89;949503.06;478238.56;120826.84;78071.43;377238.37;427.38;107912.5;5674.3;203885.06;59339.13;124099.4
T1_0814;T1;0814;TAVIRA;3840820.34;3400385.06;1971654.71;1111138.67;4582.19;313009.49;295761.34;3116.38;92507.56;0;103547.89;96589.51;144673.94
T1_0310;T1;0310;TERRAS DE BOURO;1767824.81;1381926.02;769538.34;464168.51;23658.37;124560.8;289575.99;0;142342.88;30791.6;66110.02;50331.49;96322.8
T1_1418;T1;1418;TOMAR;5454368.26;3874365.05;1936658.51;1156637.77;286806.64;494262.13;939435.06;0;82927.16;41851.41;333030.86;481625.63;640568.15
T1_1821;T1;1821;TONDELA;4297023.56;2907055.1;1155742.07;1166456.36;13752.71;571103.96;1192972.18;81755;429200.09;89674.16;378500.32;213842.61;196996.28
T1_0409;T1;0409;TORRE DE MONCORVO;2207490.12;1548667.31;831311.05;344937.01;189232.41;183186.84;219115.2;12499;61696.3;59008.99;18824.36;67086.55;439707.61
T1_1419;T1;1419;TORRES NOVAS;5421144.37;3570772.45;1744458.69;1444422.16;144638.66;237252.94;1253902.97;60355.04;533419.05;160258.03;381527.42;118343.43;596468.95
T1_1113;T1;1113;TORRES VEDRAS;10664700.44;6050693.41;2677543.4;1427902.57;219479.09;1725768.35;2874482.58;20000;2398493.8;0;111750.63;344238.15;1739524.45
T1_0913;T1;0913;TRANCOSO;1938869.44;1495391.3;573976.13;271220.06;39303.33;610891.78;266739.98;0;9615.35;25788.76;118867.1;112468.77;176738.16
T1_1318;T1;1318;TROFA;3315951.96;2778687.86;1335879.48;799546.47;111329.71;531932.2;437064.89;0;371369.6;11702.26;23950.36;30042.67;100199.21
T1_0118;T1;0118;VAGOS;3361145.96;2049268.45;813446.24;934866.72;28183.06;272772.43;1168760.71;44185.27;454123.96;318079.24;184948.11;167424.13;143116.8
T1_0119;T1;0119;VALE DE CAMBRA;3061964.83;2031890.14;880061.2;705826.09;72962.04;373040.81;616725;110788.05;42833.08;20663.16;114717.82;327722.89;413349.69
T1_1608;T1;1608;VALENÇA;2804340.7;2163887.8;1076768.77;864878.4;27529.92;194710.71;460025.8;15912.5;56611.43;30970.56;229532.25;126999.06;180427.1
T1_1315;T1;1315;VALONGO;5487269.47;4657609.12;2602893.47;1855464.7;74538.23;124712.72;293700.71;0;27406.43;10328.25;159570.43;96395.6;535959.64
T1_1712;T1;1712;VALPAÇOS;3587487.02;2158401.56;1024345.62;945837.68;24926.84;163291.42;1199262.32;96547.67;124698.04;128173.43;730859.67;118983.51;229823.14
T1_4502;T1;4502;VELAS;1402074.39;573387.83;309236.97;230635.21;15314.18;18201.47;521410.83;0;319935.55;14920;163151.73;23403.55;307275.73
T1_0712;T1;0712;VENDAS NOVAS;1747252.37;1491495.07;861800.48;524735.46;43916.19;61042.94;202957.39;1103.36;37339.96;20026.56;54422.2;90065.31;52799.91
T1_0713;T1;0713;VIANA DO ALENTEJO;1570483.19;1139012.89;526195.61;434224.43;10555.03;168037.82;262372.22;0;53129.73;188.93;202058.18;6995.38;169098.08
T1_1609;T1;1609;VIANA DO CASTELO;11605003.31;6754596.71;3556794.22;2442146.79;78164.7;677491;2509073.15;296047.31;994020.03;32907.89;862702.97;323394.95;2341333.45
T1_0214;T1;0214;VIDIGUEIRA;1966182.67;1298109.12;723299.85;482370.53;36245.74;56193;413029.27;5000;321904.91;12795.8;1036.66;72291.9;255044.28
